docname,topic,proportion
categories.txt:8,003,1.0
categories.txt:9,000,0.671959
categories.txt:9,001,0.328041
categories.txt:18,009,1.0
categories.txt:1,000,0.671959
categories.txt:1,001,0.328041
categories.txt:5,000,0.671959
categories.txt:5,001,0.328041
categories.txt:17,000,0.671959
categories.txt:17,001,0.328041
categories.txt:15,000,0.671959
categories.txt:15,001,0.328041
categories.txt:2,008,1.0
categories.txt:3,000,0.671959
categories.txt:3,001,0.328041
categories.txt:19,000,0.671959
categories.txt:19,001,0.328041
categories.txt:12,002,1.0
categories.txt:13,000,0.671959
categories.txt:13,001,0.328041
categories.txt:16,005,1.0
categories.txt:4,009,1.0
categories.txt:0,000,1.0
categories.txt:11,000,0.671959
categories.txt:11,001,0.328041
categories.txt:6,007,1.0
categories.txt:14,006,1.0
categories.txt:10,001,1.0
categories.txt:7,000,0.671959
categories.txt:7,001,0.328041
categories.txt:20,004,1.0
