topic,term,weight
000,computer,0.12500012
000,chess,0.12499985
000,california,0.12500009
000,engineer,0.1250005
000,microsoft,0.124999635
000,university,0.12500036
000,coffee,0.1249998
000,southern,0.12499964
001,spider,0.12929897
001,lion,0.1293027
001,find,0.12930082
001,dragon,0.12930198
001,train,0.12930577
001,nemo,0.12930241
001,incredibles,0.1293062
001,king,0.094881184
002,mallorca,0.1428585
002,honolulo,0.14285593
002,santa,0.14285748
002,puerto,0.14285864
002,barbara,0.14285614
002,cancun,0.14285696
002,ventura,0.14285639
003,dogg,0.14285895
003,perry,0.14285849
003,ballet,0.14285737
003,sheeran,0.14285684
003,snoop,0.14285837
003,katy,0.14285354
003,trumpet,0.14285643
004,quiksilver,0.14286038
004,saint,0.14285828
004,orleans,0.14285699
004,ramsey,0.1428583
004,gordon,0.1428558
004,facebook,0.14285617
004,armour,0.14285408
005,milky,0.1666713
005,pluto,0.16667101
005,mar,0.166665
005,griffith,0.16666374
005,nasa,0.16666703
005,observatory,0.16666193
006,mexico,0.16667955
006,york,0.16666017
006,city,0.16666229
006,angeles,0.16665924
006,london,0.16666414
006,barcelona,0.16667461
007,galaxy,0.20000179
007,basketball,0.19999984
007,football,0.20000036
007,soccer,0.19999999
007,hockey,0.19999802
008,arby's,0.14735323
008,burger,0.1473536
008,mcdonalds,0.14734608
008,costco,0.1473444
008,bell,0.14732702
008,taco,0.147321
008,king,0.11595468
009,javascript,0.6705956
009,infinite,0.0053599044
009,bioshock,0.0053582476
009,call,0.005332545
009,xbox,0.005329665
009,playstation,0.005321711
009,nintendo,0.005304889
009,switch,0.005303088
009,duty,0.005297174
009,king,0.017454276
